Topic_number	Topic_words
0	tissue sample gtex human 3raqtl
1	nucleic acid d39 university cancer
2	snp gwas catalog interpret genomewide
3	data processing collection used supplementary
4	3raqtl browser module genome genesnp
5	alternative polyadenylation cell locus 3rutr
6	gene expression genet target effect
7	3raqtls gwasassociated human associated normal
8	disease human genetic trait risk
9	3raqtlatlas website available based work
